URL,Checked,Violations,Critical(A),Serious(AA),Moderate(AAA),Other
https://www.fife.ac.uk/employers/andrew-carnegie-business-school/quality-management-and-business-improvement/,2022-12-09 19:35:05,5,1,1,3,0
https://www.fife.ac.uk/courses/subject-areas/stem/,2022-12-09 19:35:21,5,1,1,3,0
https://www.fife.ac.uk/students/graduation/,2022-12-09 19:35:29,6,2,1,3,0
https://www.fife.ac.uk/studying-with-us/facilities/,2022-12-09 19:35:39,4,1,0,3,0
https://www.fife.ac.uk/skills-boost/,2022-12-09 19:35:55,4,1,0,2,1
https://www.fife.ac.uk/courses/qualifications-explained/developing-skills-for-learning-life-and-work/,2022-12-09 19:36:12,5,1,1,2,1
https://www.fife.ac.uk/schools/,2022-12-09 19:36:23,5,1,2,2,0
https://www.fife.ac.uk/courses/subject-areas/social-sciences/,2022-12-09 19:36:42,5,1,1,3,0
https://www.fife.ac.uk/case-studies/rachel-cunningham/,2022-12-09 19:36:48,4,1,1,2,0
https://www.fife.ac.uk/virtual-open-day/,2022-12-09 19:36:59,6,1,2,2,1
https://www.fife.ac.uk/employers/andrew-carnegie-business-school/,2022-12-09 19:37:08,4,1,1,2,0
https://www.fife.ac.uk/case-studies/rebecca-saxton/,2022-12-09 19:37:24,4,1,1,2,0
https://www.fife.ac.uk/contact-us/,2022-12-09 19:37:40,5,1,1,2,1
https://www.fife.ac.uk/student-funding/full-time-fe/,2022-12-09 19:37:57,4,2,0,2,0
https://www.fife.ac.uk/courses/subject-areas/sport-and-fitness/,2022-12-09 19:38:10,5,1,1,3,0
https://www.fife.ac.uk/about-us/work-with-us/equality-diversity-and-inclusion/,2022-12-09 19:38:28,7,1,1,3,2
https://www.fife.ac.uk/case-studies/lorna-mccarroll/,2022-12-09 19:38:42,3,1,0,2,0
https://www.fife.ac.uk/studying-with-us/facilities/theatre/,2022-12-09 19:38:58,4,1,0,3,0
https://www.fife.ac.uk/employers/work-based-qualifications/,2022-12-09 19:39:15,5,1,1,3,0
https://www.fife.ac.uk/about-us/alumni/,2022-12-09 19:39:27,5,1,1,3,0
https://www.fife.ac.uk/courses/subject-areas/health-and-social-care/,2022-12-09 19:39:41,5,1,1,3,0
https://www.fife.ac.uk/courses/subject-areas/supported-learning/,2022-12-09 19:39:58,5,1,1,3,0
https://www.fife.ac.uk/case-studies/arlene-nicoll/,2022-12-09 19:40:15,3,1,0,2,0
https://www.fife.ac.uk/schools/campuses-and-facilities/,2022-12-09 19:40:26,5,1,1,2,1
https://www.fife.ac.uk/case-studies/neil-muirhead/,2022-12-09 19:40:43,4,1,1,2,0
https://www.fife.ac.uk/case-studies/darren-hamilton/,2022-12-09 19:40:54,3,1,0,2,0
https://www.fife.ac.uk/studying-with-us/student-support-services/cost-of-living-support/,2022-12-09 19:41:05,4,1,0,3,0
https://www.fife.ac.uk/courses/subject-areas/social-sciences/,2022-12-09 19:41:23,5,1,1,3,0
https://www.fife.ac.uk/case-studies/andy-mcbean/,2022-12-09 19:41:41,3,1,0,2,0
https://www.fife.ac.uk/case-studies/william-morrison/,2022-12-09 19:41:48,4,1,1,2,0
https://www.fife.ac.uk/students/dates-for-your-diary/,2022-12-09 19:42:00,4,1,1,2,0
https://www.fife.ac.uk/studying-with-us/adam-smith-scholarships/our-scholarships/,2022-12-09 19:42:08,4,1,1,2,0
